step,mean_vulnerable,mean_constant
0,0.8880058068625063,0.9703469728983941
1,510.6683040068416,510.49320479670325
2,512.2228950301272,512.1499403234102
3,509.53790087338825,511.6323766545897
4,512.2316905051022,509.97221346063503
5,510.17835097057366,511.21000404498784
6,512.204139862426,510.1134346914598
7,512.9548060041249,510.27843673283314
8,512.4593782894877,512.2983023679582
9,509.5067437422225,511.7425361852474
10,513.1880541681961,511.7806590737613
11,511.0851627992408,511.1602375702094
12,510.23465746151265,510.407724199346
13,514.182275964842,509.815182427499
14,512.4552838683343,512.3424237065124
15,511.1533690199922,512.2884797076691
16,511.40817798874593,510.85208879475675
17,510.405740335203,511.61956431708194
18,510.52438893497447,510.3328935237354
19,509.80288466238164,508.23171922817613
20,512.8893132065624,509.7102837877873
21,514.3084881926886,512.7206978816022
22,510.0714838474105,509.39774439672675
23,508.93063224735096,512.6549480915811
24,508.76911253309373,512.0014204189429
25,511.6387575879481,511.77843566958586
26,512.0954080677916,513.1146975627125
27,510.15754212573285,510.05976584383313
28,510.2659619629906,510.5133308784469
29,510.2328359438786,510.2286003758832
30,509.81335828875257,510.3552585862403
31,510.2276507482051,508.6303119462157
32,510.66878859334463,508.89832614117233
33,511.27934823789496,508.8901887573432
34,510.55204050616777,510.3334181717633
35,510.42475566761226,511.55917766993605
36,512.0413553243136,509.66561979363206
37,511.08765794399125,509.75547544621105
38,513.2826184966842,509.40169160621105
39,510.55031197813196,512.5838485289459
40,513.432636798222,508.8153962433387
41,509.38952686998033,509.2666592342231
42,510.6730390010188,510.6911176427256
43,511.7136607653017,512.502031000121
44,508.4478730413606,511.8315439343887
45,512.4189789218692,510.56470615592036
46,511.3601297606131,511.6386331550998
47,512.335606120328,508.66714640862733
48,513.6017164031723,512.6436062694984
49,510.0466893350683,511.1111576412419
50,512.9826330285911,510.93837412885495
51,512.9790338917793,510.0688087332959
52,510.1208401284608,511.23173783689776
53,509.46658287628543,511.27925034832646
54,510.38328779744245,508.4922435476621
55,507.6361639216584,508.84980535027046
56,510.81427319348217,513.7457806632225
