index,t_vulnerable_ns,t_constant_ns
0,7237900,10200400
1,7194600,10455400
2,7169600,9924000
3,7157500,9977900
4,7605500,10178100
5,7082800,10133500
6,7248000,10033100
7,7091700,10370500
8,7107500,9874300
9,7093100,9993400
10,7110700,10158300
11,7096300,13634000
12,7127700,9956600
13,7168100,10239400
14,7081100,9914500
15,7294900,9967700
16,7095300,10500800
17,7144700,11283100
18,7070000,10103900
19,7150500,11490300
20,7271500,10470100
21,7089300,10062900
22,7089100,10281800
23,7067200,10433800
24,7353000,10310000
25,10115500,10137500
26,8638700,10018300
27,7298900,10336300
28,7110700,10051900
29,7086000,10198100
30,7238100,9931900
31,7033900,9983700
32,7599800,10001200
33,7103700,10048600
34,7489900,10338900
35,7092300,10017800
36,7080000,10057900
37,7360200,10056600
38,7158300,10282700
39,7125800,10631900
40,7099800,10599600
41,7237100,10135400
42,7107400,10065600
43,7195500,10201200
44,7256800,10243500
45,7150100,11693900
46,7033400,10208700
47,7170700,10181300
48,7091300,10163100
49,7018400,9835300
50,7385600,10572300
51,7091600,10032700
52,7114500,10061700
53,7126000,10154000
54,10268000,9963200
55,7120700,10087400
56,7180700,9988000
57,7135000,10544200
58,7328800,10037400
59,7124100,10087700
60,7079000,9881000
61,7119900,10246900
62,7118600,10009000
63,7075400,10057200
64,7071000,10026800
65,7362900,10002600
66,7107700,10531000
67,7395300,10351600
68,7092000,10324300
69,7789300,10743500
70,7090800,10554600
71,7101900,10718800
72,7115100,10013500
73,7062900,10508400
74,7090300,10329400
75,7074800,10130800
76,7659700,10763100
77,7113700,10475000
78,7075100,10109300
79,7083700,10616200
80,7234300,15408700
81,7088900,10046500
82,7122100,11422400
83,7327800,10678500
84,7096100,9931900
85,7421900,10177500
86,7077300,10481000
87,7106300,9835000
88,7093400,9997000
89,7087400,11036600
90,7062700,9914400
91,7097100,10186200
92,7071700,9872000
93,7062900,10145200
94,7309600,10042400
95,7106000,9948000
96,7140600,9934900
97,7083600,10117400
98,7133300,9945700
99,7082900,10192900
100,7068500,12070600
101,7168900,10349400
102,7155600,10102700
103,8856700,10151700
104,7270100,10915100
105,7088400,10241900
106,7258800,10518900
107,7348800,10136600
108,7081300,10621500
109,7184200,10226600
110,7065300,9993600
111,7300300,11433100
112,7154600,11907600
113,7104300,9991300
114,7141600,12533500
115,7191800,10926200
116,7175000,9942000
117,7118800,10134600
118,7091100,9893600
119,7312800,9976600
120,7567800,9927300
121,7112400,10207300
122,7062300,10221700
123,7123800,10197600
124,7087500,9934200
125,7116800,11301100
126,7171900,10062600
127,7211400,9990200
128,7199900,10564700
129,7111000,10592300
130,7108000,10171500
131,7013500,9999400
132,7209600,10254600
133,7127800,10623100
134,7880600,10241400
135,8191600,10941400
136,7093400,9934400
137,7218000,9914400
138,7191300,9994800
139,7082800,11839100
140,7119800,10075800
141,7072200,10965600
142,7069100,10182600
143,7124700,10708000
144,7077000,10313800
145,7127900,9941900
146,7182300,10311100
147,7166000,11027000
148,7077200,10452100
149,7108300,10758500
150,7087700,10424000
151,7068100,10090600
152,7127400,10520800
153,7101800,10507400
154,7179700,11373800
155,8082300,11427100
156,7168500,10294800
157,7248500,10255400
158,7174600,10518800
159,7078400,14580300
160,7143600,22390100
161,7222700,13790700
162,7073500,11076000
163,7470100,10533100
164,7133700,11086600
165,7267400,11000500
166,7091900,11797400
167,7153500,13273800
168,7129800,24555700
169,7632000,12085000
170,9669200,13066300
171,7194500,12663100
172,7547800,20934400
173,7153900,14904400
174,7076700,35499400
175,7074500,19946700
176,7391100,16760500
177,7080000,13694600
178,7124800,12556100
179,7079300,13734900
180,7343400,13781000
181,7104500,15895200
182,7221400,12348800
183,7070200,12398800
184,10536300,11516100
185,7147200,14156200
186,7164400,13518100
187,7108800,12215900
188,7100400,11080200
189,7302100,12397300
190,7073200,10368900
191,7209600,9954400
192,7080600,11025600
193,7174000,10179700
194,7082900,9937500
195,7141900,12596200
196,7086200,11254700
197,7072100,11211800
198,7440500,13238800
199,7085200,12460100
200,7106200,12639400
201,7066100,10725400
202,10097900,10863100
203,7148200,10821200
204,7916500,10427300
205,7111300,11259900
206,7161300,11498100
207,7075700,10289500
208,7130700,13665800
209,7117200,14610500
210,7068300,14723900
211,7071100,26777900
212,7009200,11312200
213,7150700,12767000
214,7081600,10806600
215,7460900,12907700
216,7099400,12015300
217,7335400,13207500
218,7095700,11384500
219,7046000,11774400
220,7114400,12529900
221,7070300,13785700
222,7227300,10121800
223,7061800,14730200
224,7320600,15169200
225,7096600,14157200
226,7100300,15214700
227,7070700,13555200
228,7152700,11059800
229,7071500,17857200
230,7165000,13036400
231,7117100,13248600
232,7083600,14767200
233,7350100,11345000
234,7082600,12646700
235,7416200,18951200
236,7498300,23359700
237,7200800,17889900
238,7079600,11361400
239,7295600,10402300
240,7089200,11582000
241,7487300,13479100
242,7092700,10262200
243,7071900,14481900
244,7297100,13884400
245,7127000,14743900
246,7300500,12405500
247,7133600,17147600
248,7300600,11390100
249,7081400,13104700
250,7214100,11641900
251,7528400,12096700
252,7075600,11146100
253,7159400,11123400
254,7079900,11066400
255,7210400,11560200
256,7110800,11204900
257,7173600,10687500
258,7108500,10885500
259,7315700,11420400
260,7080800,10456800
261,7063800,10117400
262,7079800,11189600
263,7126800,10844600
264,7225500,11197500
265,7082500,13875100
266,7449800,14544600
267,7247900,12550000
268,7373100,10812900
269,7151000,11914800
270,7186500,11296700
271,7200500,10261100
272,7092900,10599900
273,7170800,10253500
274,7462900,10126100
275,7158800,10793500
276,7069200,10365000
277,7289100,10182700
278,7140800,10483200
279,7233500,10135800
280,7088300,10092000
281,7594500,10300100
282,7400000,10760300
283,7218500,10580700
284,16392000,10274000
285,8058900,10253100
286,8807000,9938800
287,7121900,10312300
288,7396600,10160800
289,7187800,10238200
290,7217300,10564300
291,7188000,10369000
292,7449200,10242000
293,7308500,10487600
294,7090700,10332400
295,8315900,10266100
296,7194400,12035300
297,7098200,11657300
298,7073100,10023300
299,7228500,13520500
